Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
2010-06,"931,289.00 ","226,698.00 ","14,250.00 ","43,234.00 ","55,550.00 ","591,557.00 ","471,846.00 ","26,723,986.00 ","1,687,213.00 ","633,027.00 ","269,861.00 ","335,184.00 ","224,622.00 ","166,862.00 ","57,657.00 ","20,208,799.00 ","254,399.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,128,083.00 ","463,568.00 ","80,684.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,756,422.00 ","325,822.00 ","493,576.00 ","83,953.00 ","625,460.00 ","200,536.00 ",0.00 ,0.00 ,"252,991.00 ","803,845.00 ",0.00 ,0.00 ,"2,307,771.00 ","1,116,971.00 ",0.00 ,0.00 ,0.00 ,"4,204,975.00 ","925,648.00 ",0.00 ,"2,775,110.00 ","1,785,055.00 ",0.00 ,0.00 ,"926,438.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,827,974.00 ","4,521,548.00 ","2,265,354.00 ","2,012,261.00 ","103,409.00 ","64,621.00 ","241,805.00 ","396,814.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"583,767.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"41,743.00 ","254,395.00 ","25,328.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"664,662.00 ",0.00 ,"348,288.00 ","754,614.00 ","85,492.00 ","335,228.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,820.00 ","194,650.00 ","33,666.00 ","95,364.00 ","296,206.00 ","203,302.00 ",0.00 ,0.00 ,"249,098.00 ","3,637,700.00 ","2,074,286.00 ","1,563,414.00 ","35,204,674.00 "
2010-07,"1,149,482.00 ","282,195.00 ","15,210.00 ","46,928.00 ","66,546.00 ","738,603.00 ","594,375.00 ","28,989,298.00 ","1,706,050.00 ","649,826.00 ","284,899.00 ","320,314.00 ","232,175.00 ","163,467.00 ","55,369.00 ","20,249,770.00 ","268,047.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,153,074.00 ","464,266.00 ","85,427.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,757,387.00 ","332,608.00 ","469,190.00 ","110,613.00 ","609,515.00 ","207,594.00 ",0.00 ,0.00 ,"263,962.00 ","793,523.00 ",0.00 ,0.00 ,"2,217,520.00 ","1,043,382.00 ",0.00 ,0.00 ,0.00 ,"4,064,724.00 ","868,010.00 ",0.00 ,"2,843,221.00 ","1,893,182.00 ",0.00 ,0.00 ,"920,678.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,033,478.00 ","6,711,249.00 ","2,501,186.00 ","3,969,976.00 ","123,187.00 ","71,295.00 ","250,934.00 ","398,023.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"618,789.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"36,196.00 ","245,630.00 ","29,413.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"775,317.00 ",0.00 ,"425,046.00 ","887,313.00 ","103,508.00 ","402,363.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,029.00 ","209,181.00 ","38,116.00 ","95,376.00 ","325,541.00 ","218,558.00 ",0.00 ,0.00 ,"306,903.00 ","4,369,082.00 ","2,548,298.00 ","1,820,784.00 ","38,962,716.00 "
2010-08,"1,123,659.00 ","287,228.00 ","16,245.00 ","53,315.00 ","77,067.00 ","689,804.00 ","544,646.00 ","28,330,816.00 ","1,708,148.00 ","645,808.00 ","283,839.00 ","324,539.00 ","223,885.00 ","170,140.00 ","59,937.00 ","20,809,111.00 ","300,324.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,206,824.00 ","468,783.00 ","94,095.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,708,942.00 ","312,900.00 ","414,235.00 ","139,706.00 ","638,965.00 ","208,228.00 ",0.00 ,0.00 ,"281,889.00 ","832,245.00 ",0.00 ,0.00 ,"2,281,495.00 ","1,118,576.00 ",0.00 ,0.00 ,0.00 ,"4,134,734.00 ","895,851.00 ",0.00 ,"2,804,251.00 ","1,808,210.00 ",0.00 ,0.00 ,"963,225.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,813,557.00 ","5,487,034.00 ","2,529,294.00 ","2,713,742.00 ","127,025.00 ","61,805.00 ","264,718.00 ","448,526.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"685,305.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"38,219.00 ","259,576.00 ","33,272.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"925,544.00 ",0.00 ,"521,451.00 ","1,053,889.00 ","125,727.00 ","479,873.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,768.00 ","225,134.00 ","41,788.00 ","100,817.00 ","316,260.00 ","192,127.00 ",0.00 ,0.00 ,"373,372.00 ","5,167,767.00 ","3,048,272.00 ","2,119,495.00 ","39,745,449.00 "
2010-09,"881,547.00 ","235,997.00 ","14,944.00 ","51,449.00 ","84,916.00 ","494,241.00 ","372,521.00 ","23,941,234.00 ","1,668,252.00 ","622,014.00 ","273,863.00 ","310,764.00 ","233,347.00 ","166,930.00 ","61,334.00 ","19,367,134.00 ","289,591.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,109,263.00 ","460,935.00 ","89,788.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,537,468.00 ","290,805.00 ","381,826.00 ","135,615.00 ","600,707.00 ","201,512.00 ",0.00 ,0.00 ,"256,735.00 ","797,033.00 ",0.00 ,0.00 ,"2,177,399.00 ","1,072,989.00 ",0.00 ,0.00 ,0.00 ,"3,883,900.00 ","859,539.00 ",0.00 ,"2,406,658.00 ","1,532,732.00 ",0.00 ,0.00 ,"904,872.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,905,848.00 ","2,590,668.00 ","2,059,198.00 ","316,411.00 ","97,733.00 ","60,066.00 ","255,114.00 ","445,657.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"658,956.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"36,459.00 ","265,420.00 ","30,523.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"879,673.00 ",0.00 ,"474,762.00 ","984,462.00 ","113,394.00 ","442,399.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,650.00 ","214,464.00 ","36,677.00 ","101,482.00 ","324,821.00 ","210,103.00 ",0.00 ,0.00 ,"339,761.00 ","5,260,980.00 ","3,117,118.00 ","2,143,862.00 ","34,931,235.00 "
2010-10,"741,699.00 ","211,600.00 ","13,469.00 ","46,208.00 ","74,913.00 ","395,509.00 ","282,899.00 ","24,842,113.00 ","1,626,096.00 ","621,373.00 ","275,681.00 ","289,978.00 ","221,708.00 ","162,860.00 ","54,496.00 ","19,053,101.00 ","286,341.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,064,452.00 ","425,169.00 ","80,038.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,551,219.00 ","295,065.00 ","374,235.00 ","147,908.00 ","592,548.00 ","182,267.00 ",0.00 ,0.00 ,"250,879.00 ","734,628.00 ",0.00 ,0.00 ,"2,159,160.00 ","1,070,862.00 ",0.00 ,0.00 ,0.00 ,"3,837,414.00 ","871,256.00 ",0.00 ,"2,688,587.00 ","1,725,486.00 ",0.00 ,0.00 ,"853,504.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,162,916.00 ","3,854,940.00 ","2,113,982.00 ","1,524,060.00 ","89,937.00 ","58,825.00 ","249,151.00 ","415,159.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"619,520.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"38,972.00 ","254,780.00 ","27,048.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"747,861.00 ",0.00 ,"390,169.00 ","813,157.00 ","94,308.00 ","353,119.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,469.00 ","213,634.00 ","37,033.00 ","100,697.00 ","320,644.00 ","223,111.00 ",0.00 ,0.00 ,"151,512.00 ","4,311,162.00 ","2,440,981.00 ","1,870,181.00 ","34,002,301.00 "
2010-11,"745,591.00 ","212,366.00 ","13,088.00 ","43,724.00 ","59,097.00 ","417,316.00 ","308,550.00 ","26,022,730.00 ","1,709,097.00 ","680,739.00 ","280,021.00 ","302,302.00 ","221,889.00 ","166,337.00 ","57,809.00 ","18,891,186.00 ","292,170.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,111,013.00 ","422,827.00 ","77,906.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,428,139.00 ","296,564.00 ","310,035.00 ","124,919.00 ","564,328.00 ","180,705.00 ",0.00 ,0.00 ,"241,949.00 ","761,970.00 ",0.00 ,0.00 ,"2,268,172.00 ","1,066,174.00 ",0.00 ,0.00 ,0.00 ,"3,718,366.00 ","691,391.00 ",0.00 ,"2,450,133.00 ","1,520,476.00 ",0.00 ,0.00 ,"904,002.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,422,447.00 ","5,101,230.00 ","2,347,877.00 ","2,380,998.00 ","67,396.00 ","69,282.00 ","251,935.00 ","439,408.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"621,938.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"37,274.00 ","274,554.00 ","24,565.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"651,520.00 ",0.00 ,"341,106.00 ","733,153.00 ","81,888.00 ","324,581.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,371.00 ","211,874.00 ","34,957.00 ","103,032.00 ","301,080.00 ","210,897.00 ",0.00 ,0.00 ,"236,725.00 ","3,891,661.00 ","2,171,919.00 ","1,719,742.00 ","34,604,688.00 "
2010-12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"28,362,012.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,944,573.00 ","2,196,872.00 ","1,747,701.00 ","37,007,041.00 "
2011-01,"711,584.00 ","227,049.00 ","14,588.00 ","54,086.00 ","48,836.00 ","367,025.00 ","252,545.00 ","28,522,468.00 ","1,921,637.00 ","734,122.00 ","345,927.00 ","349,295.00 ","252,085.00 ","173,668.00 ","66,540.00 ","21,467,662.00 ","343,826.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,153,458.00 ","524,606.00 ","91,260.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,815,582.00 ","333,048.00 ","547,014.00 ","45,484.00 ","665,931.00 ","198,514.00 ",0.00 ,0.00 ,"275,607.00 ","864,057.00 ",0.00 ,0.00 ,"2,299,313.00 ","1,095,492.00 ",0.00 ,0.00 ,0.00 ,"4,436,542.00 ","919,048.00 ",0.00 ,"2,830,391.00 ","1,851,331.00 ",0.00 ,0.00 ,"1,058,180.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,133,169.00 ","4,785,663.00 ","2,698,160.00 ","1,703,828.00 ","121,818.00 ","83,238.00 ","264,268.00 ","517,134.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"727,320.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"39,408.00 ","293,194.00 ","29,098.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"801,142.00 ",0.00 ,"437,948.00 ","982,021.00 ","106,622.00 ","465,674.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,130.00 ","253,149.00 ","42,628.00 ","129,174.00 ","404,414.00 ","285,811.00 ",0.00 ,0.00 ,"324,230.00 ","4,703,642.00 ","2,755,415.00 ","1,948,227.00 ","38,889,102.00 "
2011-02,"577,165.00 ","172,894.00 ","13,380.00 ","50,641.00 ","39,583.00 ","300,667.00 ","210,023.00 ","21,313,352.00 ","1,571,794.00 ","617,944.00 ","311,122.00 ","288,424.00 ","189,110.00 ","114,524.00 ","50,670.00 ","17,086,706.00 ","586,130.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"735,033.00 ","401,117.00 ","64,735.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,537,817.00 ","305,069.00 ","480,875.00 ","46,280.00 ","610,076.00 ","160,064.00 ",0.00 ,0.00 ,"216,477.00 ","576,412.00 ",0.00 ,0.00 ,"1,553,586.00 ","746,580.00 ",0.00 ,0.00 ,0.00 ,"3,983,400.00 ","935,887.00 ",0.00 ,"2,500,932.00 ","1,609,417.00 ",0.00 ,0.00 ,"713,612.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,654,852.00 ","2,336,074.00 ","2,327,967.00 ","-330,660.00 ","118,625.00 ","77,435.00 ","241,343.00 ","375,574.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"694,108.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"44,811.00 ","293,531.00 ","27,584.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"743,578.00 ",0.00 ,"421,796.00 ","883,228.00 ","101,120.00 ","418,925.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,927.00 ","236,826.00 ","40,970.00 ","114,870.00 ","305,854.00 ","199,401.00 ",0.00 ,0.00 ,"317,756.00 ","5,009,976.00 ","2,921,124.00 ","2,088,852.00 ","31,358,537.00 "
2011-03,"665,081.00 ","202,881.00 ","13,098.00 ","51,894.00 ","42,337.00 ","354,871.00 ","259,148.00 ","29,142,019.00 ","1,802,585.00 ","681,057.00 ","329,966.00 ","342,733.00 ","237,035.00 ","146,917.00 ","64,877.00 ","19,929,850.00 ","281,218.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,071,932.00 ","457,941.00 ","67,845.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,706,426.00 ","323,165.00 ","456,675.00 ","70,958.00 ","696,872.00 ","183,270.00 ",0.00 ,0.00 ,"251,303.00 ","692,831.00 ",0.00 ,0.00 ,"2,102,155.00 ","1,015,269.00 ",0.00 ,0.00 ,0.00 ,"4,468,573.00 ","1,022,850.00 ",0.00 ,"2,880,980.00 ","1,927,588.00 ",0.00 ,0.00 ,"920,969.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,409,584.00 ","7,095,005.00 ","2,609,302.00 ","4,165,060.00 ","105,073.00 ","76,589.00 ","237,990.00 ","394,792.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"652,905.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"42,464.00 ","274,220.00 ","25,604.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"695,627.00 ",0.00 ,"376,765.00 ","822,317.00 ","93,965.00 ","392,533.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,704.00 ","236,043.00 ","41,384.00 ","116,793.00 ","317,719.00 ","221,158.00 ",0.00 ,0.00 ,"283,358.00 ","4,838,839.00 ","2,747,709.00 ","2,091,130.00 ","38,877,785.00 "
2011-04,"837,207.00 ","222,699.00 ","14,640.00 ","55,371.00 ","48,518.00 ","495,979.00 ","383,519.00 ","28,220,316.00 ","1,894,049.00 ","696,785.00 ","297,969.00 ","371,928.00 ","267,014.00 ","187,881.00 ","72,472.00 ","21,902,294.00 ","274,079.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,221,855.00 ","523,821.00 ","82,784.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,003,893.00 ","356,642.00 ","572,008.00 ","71,855.00 ","680,187.00 ","199,305.00 ",0.00 ,0.00 ,"268,610.00 ","872,072.00 ",0.00 ,0.00 ,"2,646,920.00 ","1,249,159.00 ",0.00 ,0.00 ,0.00 ,"4,453,584.00 ","965,447.00 ",0.00 ,"2,846,616.00 ","1,873,315.00 ",0.00 ,0.00 ,"1,124,142.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,423,973.00 ","4,093,305.00 ","2,534,069.00 ","1,284,813.00 ","85,825.00 ","74,813.00 ","255,855.00 ","494,081.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"667,640.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"42,287.00 ","283,681.00 ","25,016.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"690,211.00 ",0.00 ,"368,836.00 ","793,372.00 ","86,723.00 ","371,522.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,648.00 ","232,844.00 ","43,813.00 ","111,575.00 ","325,027.00 ","231,874.00 ",0.00 ,0.00 ,"260,997.00 ","4,348,423.00 ","2,454,951.00 ","1,893,472.00 ","37,678,887.00 "
2011-05,"931,160.00 ","228,916.00 ","14,615.00 ","50,144.00 ","56,211.00 ","581,274.00 ","459,944.00 ","29,622,695.00 ","1,894,040.00 ","667,132.00 ","293,958.00 ","372,990.00 ","267,895.00 ","196,776.00 ","95,289.00 ","21,980,991.00 ","270,182.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,216,425.00 ","503,890.00 ","81,403.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,940,073.00 ","355,042.00 ","518,650.00 ","77,269.00 ","663,688.00 ","199,546.00 ",0.00 ,0.00 ,"259,759.00 ","837,645.00 ",0.00 ,0.00 ,"2,701,390.00 ","1,287,299.00 ",0.00 ,0.00 ,0.00 ,"4,544,836.00 ","883,193.00 ",0.00 ,"2,978,864.00 ","1,985,692.00 ",0.00 ,0.00 ,"1,120,600.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,747,664.00 ","5,424,330.00 ","2,508,527.00 ","2,674,728.00 ","94,173.00 ","69,831.00 ","253,503.00 ","466,693.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"643,589.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"39,629.00 ","274,072.00 ","23,838.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"698,592.00 ",0.00 ,"361,074.00 ","767,592.00 ","81,161.00 ","357,742.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,011.00 ","216,407.00 ","41,451.00 ","103,527.00 ","288,984.00 ","199,685.00 ",0.00 ,0.00 ,"229,781.00 ","3,997,963.00 ","2,240,716.00 ","1,757,247.00 ","38,649,432.00 "
2011-06,"1,033,916.00 ","255,591.00 ","14,050.00 ","51,675.00 ","66,966.00 ","645,634.00 ","511,778.00 ","30,007,241.00 ","1,914,598.00 ","685,789.00 ","294,070.00 ","382,304.00 ","269,499.00 ","194,666.00 ","88,270.00 ","22,518,317.00 ","286,364.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,200,523.00 ","493,185.00 ","87,151.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,110,139.00 ","384,023.00 ","570,931.00 ","110,499.00 ","699,652.00 ","220,627.00 ",0.00 ,0.00 ,"271,359.00 ","856,917.00 ",0.00 ,0.00 ,"2,683,804.00 ","1,273,038.00 ",0.00 ,0.00 ,0.00 ,"4,664,344.00 ","1,056,418.00 ",0.00 ,"3,033,483.00 ","2,038,794.00 ",0.00 ,0.00 ,"1,137,826.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,574,326.00 ","5,240,645.00 ","2,623,421.00 ","2,369,800.00 ","105,713.00 ","68,284.00 ","265,397.00 ","472,823.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"683,387.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"40,214.00 ","294,647.00 ","25,969.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"792,757.00 ",0.00 ,"406,044.00 ","861,777.00 ","92,788.00 ","402,944.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,526.00 ","227,538.00 ","45,795.00 ","103,400.00 ","331,618.00 ","230,515.00 ",0.00 ,0.00 ,"257,522.00 ","4,085,360.00 ","2,266,033.00 ","1,819,327.00 ","39,645,009.00 "
2011-07,"1,157,292.00 ","284,567.00 ","14,399.00 ","56,332.00 ","80,754.00 ","721,240.00 ","576,670.00 ","32,400,551.00 ","1,912,421.00 ","688,768.00 ","307,404.00 ","372,554.00 ","267,042.00 ","186,298.00 ","90,355.00 ","22,720,615.00 ","296,527.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,217,533.00 ","491,527.00 ","95,324.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,173,573.00 ","366,362.00 ","564,548.00 ","131,622.00 ","715,095.00 ","227,673.00 ",0.00 ,0.00 ,"273,390.00 ","853,890.00 ",0.00 ,0.00 ,"2,573,918.00 ","1,196,913.00 ",0.00 ,0.00 ,0.00 ,"4,610,530.00 ","978,389.00 ",0.00 ,"3,059,082.00 ","2,048,475.00 ",0.00 ,0.00 ,"1,170,128.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,767,515.00 ","7,427,577.00 ","2,719,886.00 ","4,336,156.00 ","123,260.00 ","69,887.00 ","270,051.00 ","476,147.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"732,385.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"41,318.00 ","302,050.00 ","29,618.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"938,157.00 ",0.00 ,"494,316.00 ","1,022,540.00 ","109,895.00 ","488,888.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,887.00 ","240,266.00 ","49,750.00 ","105,712.00 ","365,869.00 ","245,754.00 ",0.00 ,0.00 ,"321,196.00 ","4,770,469.00 ","2,730,552.00 ","2,039,917.00 ","43,490,442.00 "
